Site Name,Hostname,IP
Aberdeen,DLL-Aberdeen-Comms,10.32.69.253
,DLC-Aberdeen-Lynxight,10.32.69.251
,DLC-Aberdeen-Gym,10.32.69.250
,,
Acton Park,DLL-Acton,10.32.225.253
,DLC-Acton2,10.32.225.252
,DLC-Acton-MainComms-3,10.32.225.249
,DLC-ActonPark-Lynxight,10.32.225.248
,,
Antwerp,DLL-Antwerp,10.32.206.253
,DLL-Antwerp24,10.32.206.252
,DLL-Antwerp-3,10.32.206.250
,,
Amsterdam,DLC-Amsterdam-48p,10.2.7.253
,DLC-Amsterdam-Spa,10.2.7.252
,DLC-Amsterdam-MainComm-2,10.2.7.251
,DLC-Amsterdam-Lynxight,10.2.7.250
,,
Basildon,DLC-Basildon,10.32.29.253
,DLC-Basildon-Lynxight,10.32.29.251
,DLC-Basildon-Gym,10.32.29.250
,,
Barcelona,DLLBarcelona,10.32.100.253
,DLC-Barcelona,10.32.100.252
,DLL-Bar-Gym24,10.32.100.251
,,
,,
Beckenham,DLC-Beckenham,10.161.2.253
,DLC-Beckenham-MainComms-2,10.32.88.252
,DLC-Beckenham-Spa,10.32.88.250
,DLC-Beckenham-Lynxight,10.32.88.251
,,
Belfast,DLL-Belfast-MainComms,10.32.40.253
,DLC-Belfast-MainComms-2,10.32.40.252
,DLC-Belfast-Lynxight,10.32.40.251
,,
Birmingham ,DLL-Birmingham-Comms,10.32.4.253
,DLC-Birmingham-Lynxight,10.32.4.251
,,
Bolton,DLL-Bolton-Comms,10.32.39.253
,DLC-Bolton-MainComms-2,10.32.39.252
,DLC-Bolton-Lnyxight,10.32.39.251
,,
Brighton,DLC-Brighton,10.32.26.253
,DLC-Brighton-SubRack,10.32.26.252
,,
Briston Long Ashton ,DLL-Bristol-LA-MainComms,10.32.15.253
,DLL-Bristol-LA-SubRack,10.32.15.252
,DLL-Bristol-LA-MainComms-2,10.32.15.250
,,
Bristol Westbury,DLL-BristolWestbury,10.32.79.253
,DLC-Bristol-Westbury-Gym,10.32.79.250
,DLC-Bristol-Westbury-Spa,10.32.79.249
,,
Bromsgrove,DLC-Bromsgrove,10.32.57.253
,DLC-Bromsgrove-Gym-Subrack,10.32.57.252
,DLC-Bromsgrove-Lynxight,10.32.57.251
,,
Brooklands,DLC-Brooklands,10.32.45.253
,DLC-Brooklands-Spa,10.32.45.252
,DLC-Brooklands-Lynxight,10.32.45.251
,,
Brussles,DLL-Brussels-MAIN,10.2.8.253
,DLC-Brussels-Gym,10.2.8.252
,DLC-Brussels-New,10.2.8.251
,DLC-Brussels-B19,10.2.8.250
,DLC-Brussels-B19-FirstFloor,10.2.8.249
,,
Bushey,DLC-Bushey-MainComms,10.32.1.253
,DLL-Bushey-MainExtreme,10.32.1.252
,DLC-Bushey-Subrack,10.32.1.250
,,
Cambridge,DLC-Cambridge-MainComms-2,10.32.82.250
,DLL-Cambridge,10.32.82.253
,DLC-Cambridge-Lnyxight,10.32.82.252
,DLC-Cambridge-Gym,10.32.82.251
,,
Capelle,DLC-Capell,10.2.9.253
,DLC-Capelle-MainComms-2,10.2.9.252
,,
Cardiff,DLL-Cardiff-Maincomms,10.32.9.253
,DLC-Cardiff-MainComms-2,10.32.9.251
,DLL-Cardiff-Subrack,10.32.9.252
,DLC-Cardiff-Lynxight,10.32.9.249
,,
Cheadle Royal,DLC-Cheadle-X440,10.32.17.253
,DLL-Cheadle-Stack,10.32.17.252
, DLL-Cheadle-X440-24P,10.32.17.251
,CheadleSubRack,10.32.17.250
,DLC-Cheadle-Lynxight,10.32.17.249
,,
Cheam,DLC-Cheam,pa
,DLC-Cheam-Lynxight,10.32.55.252
,,
Chelsea Harbour Club ,DLL-CHelsea-Main-Middle,10.32.91.253
,DLC-Chelsea-MainComms-3,10.36.91.248
,DLC-Chelsea-Basement,10.32.91.251
,DLL-Chelsea-Main-Bottom,10.32.91.252
,HC-Chelsea-GYM,10.32.91.250
,DLC-Chelsea-Lynxight,10.32.91.247
,,
Cheshire Oaks ,DLC-CheshireOaks,10.32.46.253
,DLC-CheshireOaks-Lynxight,10.32.46.252
,DLC-CheshireOaks-Gym-Subrack,10.32.46.251
,DLC-CheshireOaks-Spa,10.32.46.250
,,
Chigwell,Chigwell-Spa,10.32.6.252
,DLL-Chigwell-Stack,10.32.6.253
,,
Chorley,DLL-Chorley-MainComms,10.32.76.253
,DLC-Chorley-MainComms-2,10.32.76.252
,DLC-Chorley-Lynxight,10.32.76.251
,,
Colchester,DLL-Colchester-1,10.32.205.253
,DLL-Colchester-2,10.32.205.252
,DLC-Colchester-Lnyxight,10.32.205.250
,,
Coventry,DLC-Coventry-X440,10.32.211.253
,DLC-Coventry-Main,10.32.211.252
,DLC-Coventry-Spa,10.32.211.251
,DLC-Coventry-Lynxight,10.32.211.250
,,
Dartford,DLC-Dartford-X440-Main,10.32.80.253
,DLC-Dartford-X440-2,10.32.80.252
,DLC-Dartford-X440-3,10.32.80.251
,DLC-Dartford-Gym,10.32.80.250
,DLC-Dartford-Spa,10.32.80.249
,DLC-Dartford-Lynxight,10.32.80.248
,,
Derby,DLC-Derby-Subrack,10.32.27.251
,DLC-Derby-Lynxight,10.32.27.250
,DLC-Derby-MainComms,10.32.27.249
,,
Dublin,DLL-Dublin-MainComms,10.32.51.253
,Dublin-KIDS,10.32.51.252
,KIDS-POE,10.32.51.251
,DLL-Dublin-24-Comms,10.32.51.250
,DLC-Dublin-Gym,10.32.51.249
,DLC-Dublin-Spa-Subrack,10.32.51.248
,DLC-Dublin-Lynxight,10.32.51.247
,,
Dudley,dll-dudley,192.168.5.253
,DLL-DudleyWIFIswitch,10.32.77.252
,DLC-Dudley-MainComms-2,10.32.77.251
,DLC-Dudley-Gym,10.32.77.250
,DLC-Dudley-Lynxight,10.32.77.248
,,
Dundee,DLL-Dundee-MainComms,192.168.0.253
,DLC-Dundee-Lynxight,192.168.0.252
,,
Eastbourne,DLL-Eastbourne,10.32.10.253
,DLC-Eastbourne-Lnyxight,10.32.10.252
,DLC-Eastbourne-24p,10.32.10.251
,DLC-Eastbourne-CommsAudio,10.32.10.250
,,
Edinburgh,DLL-Edinburgh,10.32.42.253
,DLC-Edinburgh-MainComms-2,10.32.42.251
,DLC-Edinburgh-Lynxight,10.32.42.250
,,
Eindhoven,DLC-Veldhoven,10.2.1.253
,DLC-Eindhoven-Lynxight,10.2.1.252
,,
Emersons Green,DLC-EmersonsGreen,10.32.230.253
,DLC-Emersons-2,10.32.230.252
,,
Epsom,DLC-Epsom,10.32.56.251
,DLC-Epsom-Lynxight,10.32.56.250
,,
Exeter,DLC-Exeter-MainComms-2,10.32.67.252
,DLL-Exeter,10.32.67.251
,DLC-Exeter-Gym,10.32.67.250
,DLC-Exeter-Spa,10.32.67.249
,DLC-Exeter-MandB,10.32.67.248
,,
Farnham,DLL-Farnham-Club,10.32.201.253
,DLC-Farnham-Subrack,10.32.201.252
,DLC-Farnham-MainComms-2,10.32.201.251
,DLC-Farnham-Lynxight,10.32.201.250
,DLC-Farnham-Lynxight-2,10.32.201.249
,,
Finchley,DLL-Finchley,10.32.2.253
